#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
5E|CM01A||EH1|40.722698|-123.985397|708.0|0.0|315.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM01A||EH2|40.722698|-123.985397|708.0|0.0|45.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM01A||EHZ|40.722698|-123.985397|708.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM02A||EHE|40.660801|-124.1688|122.0|0.0|90.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM02A||EHN|40.660801|-124.1688|122.0|0.0|0.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM02A||EHZ|40.660801|-124.1688|122.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM03A||EH1|40.602798|-123.959099|582.0|0.0|31.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM03A||EH2|40.602798|-123.959099|582.0|0.0|121.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM03A||EHZ|40.602798|-123.959099|582.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM04A||EHE|40.5826|-124.108803|111.0|0.0|90.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM04A||EHN|40.5826|-124.108803|111.0|0.0|0.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM04A||EHZ|40.5826|-124.108803|111.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM05A||EH1|40.5396|-124.239403|103.0|0.0|180.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM05A||EH2|40.5396|-124.239403|103.0|0.0|270.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM05A||EHZ|40.5396|-124.239403|103.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM06A||EHE|40.483101|-124.2286|649.0|0.0|90.0|0.0|Mark Products L22/Reftek 130 Datalogger|54685100.0|5.0|M/S|100.0|2015-02-19T22:10:00|2015-10-10T23:59:59
5E|CM06A||EHN|40.483101|-124.2286|649.0|0.0|0.0|0.0|Mark Products L22/Reftek 130 Datalogger|54685100.0|5.0|M/S|100.0|2015-02-19T22:10:00|2015-10-10T23:59:59
5E|CM06A||EHZ|40.483101|-124.2286|649.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|54685100.0|5.0|M/S|100.0|2015-02-19T22:10:00|2015-10-10T23:59:59
5E|CM07A||EH1|40.473099|-124.084099|311.0|0.0|31.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
